LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value
SVN,FBORNEMP,TOT,PC_FBORNPOP,2015,61.3
SVN,FBORNEMP,TOT,PC_FBORNPOP,2016,62.4
SVN,FBORNEMP,TOT,PC_FBORNPOP,2017,66.3
EU27,FBORNEMP,TOT,PC_FBORNPOP,2007,63.8
EU27,FBORNEMP,TOT,PC_FBORNPOP,2008,64.4
EU27,FBORNEMP,TOT,PC_FBORNPOP,2009,61.8
EU27,FBORNEMP,TOT,PC_FBORNPOP,2010,62
EU27,FBORNEMP,TOT,PC_FBORNPOP,2011,62.2
EU27,FBORNEMP,TOT,PC_FBORNPOP,2012,61.4
OECD,FBORNEMP,TOT,PC_FBORNPOP,2007,66
OECD,FBORNEMP,TOT,PC_FBORNPOP,2008,66
OECD,FBORNEMP,TOT,PC_FBORNPOP,2009,63
OECD,FBORNEMP,TOT,PC_FBORNPOP,2010,63
OECD,FBORNEMP,TOT,PC_FBORNPOP,2011,64
OECD,FBORNEMP,TOT,PC_FBORNPOP,2012,64
OECD,FBORNEMP,TOT,PC_FBORNPOP,2013,64
EU28,FBORNEMP,TOT,PC_FBORNPOP,2007,64.8
EU28,FBORNEMP,TOT,PC_FBORNPOP,2008,64.2
EU28,FBORNEMP,TOT,PC_FBORNPOP,2009,62
EU28,FBORNEMP,TOT,PC_FBORNPOP,2010,61.9
EU28,FBORNEMP,TOT,PC_FBORNPOP,2011,61.9
EU28,FBORNEMP,TOT,PC_FBORNPOP,2012,61.5
EU28,FBORNEMP,TOT,PC_FBORNPOP,2013,61.3
EU28,FBORNEMP,TOT,PC_FBORNPOP,2014,62.1
LVA,FBORNEMP,TOT,PC_FBORNPOP,2017,66.6
